N,run_label,target_id,strict_success_by_curobo,strict_success_by_our_eval,q0,q1,q2,q3,q4,q5,curobo_reported_pos_err_mm,curobo_reported_rot_err_deg,our_reeval_pos_err_mm,our_reeval_rot_err_deg,abs_diff_pos_err_mm,abs_diff_rot_err_deg,target_x,target_y,target_z,target_qw,target_qx,target_qy,target_qz,near_limit,reason_flag
1000,curobo_threshold_N1000_K1,223,1,1,0.848481297492981,1.8837268352508545,1.1637042760849,-2.184678792953491,-1.0140876770019531,1.529062032699585,8.429369557916289e-05,7.683969330040333e-06,5.1359268061926274e-05,8.18910913293408e-06,3.293442751723661e-05,5.051398028937466e-07,-0.7525580491083625,-0.5323789679341032,-0.524570453750962,0.8668891787528992,-0.08910468965768814,-0.4118197560310364,0.2663981020450592,0,consistent_success
1000,curobo_threshold_N1000_K1,224,1,1,0.29780328273773193,-0.4013075828552246,1.4830423593521118,1.758588194847107,-2.140345811843872,-0.645756721496582,1.909211277961731e-05,2.7685154000350403e-06,5.742899563823299e-05,2.9575586669421963e-06,3.833688285861568e-05,1.8904326690715603e-07,0.8001587904884039,0.36507450754868653,-0.005321804822031373,-0.30718857049942017,0.47155696153640747,-0.39075329899787903,0.728410005569458,0,consistent_success
1000,curobo_threshold_N1000_K1,225,1,1,1.059147596359253,-2.5321900844573975,1.8053470849990845,0.811167299747467,3.978611946105957,-0.6511505246162415,0.011722595445462503,0.0015165963141970562,0.011715852705042504,0.001514858161702082,6.742740419998436e-06,1.738152494974157e-06,-0.16358969865057102,-0.08262667684243882,0.7483744050945462,0.7076612710952759,0.6117019057273865,0.30748581886291504,-0.174610435962677,0,consistent_success
1000,curobo_threshold_N1000_K1,226,1,1,2.74892520904541,-1.0066906213760376,-1.3183741569519043,2.415351629257202,0.7970700860023499,-2.0234785079956055,0.1511997397756204,0.010574208389870818,0.1512072268731583,0.010581520758470781,7.487097537894893e-06,7.3123685999636895e-06,-0.07863574913190607,-0.21445157896028788,0.9403887742070082,0.0021303764078766108,-0.6757436990737915,-0.2748602330684662,0.6839720606803894,0,consistent_success
1000,curobo_threshold_N1000_K1,227,1,0,0.722979724407196,1.8875846862792969,-2.979724645614624,-2.260093927383423,-3.236809730529785,-0.23758569359779358,4.500219598412514,1.8570690980580524,4.500206284141164,1.8570733294807045,1.3314271349429418e-05,4.23142265204568e-06,-0.013834392860680812,0.0782968618768271,0.16553967339898873,0.20567743480205536,-0.23597992956638336,0.6857540607452393,-0.6570780873298645,0,consistent_failure
1000,curobo_threshold_N1000_K1,228,1,1,1.8853543996810913,0.8221327066421509,1.4279136657714844,0.15730664134025574,-1.4985156059265137,-3.483290910720825,0.2433182526146993,0.023760465546802313,0.24332886415735538,0.02375897920907806,1.0611542656080442e-05,1.4863377242532727e-06,-0.17678159612032762,-0.0072679153632710936,-0.6188222028696783,-0.0023525399155914783,-0.16225862503051758,0.3735632598400116,0.913300096988678,0,consistent_success
1000,curobo_threshold_N1000_K1,229,1,1,0.3296433985233307,0.5437781810760498,1.405642032623291,-1.7836493253707886,-1.4396559000015259,1.4217795133590698,0.00020754916363330267,2.187259861822325e-05,0.0002101155782003652,2.664539873259316e-05,2.566414567062525e-06,4.772800114369912e-06,0.1350341900290395,0.2322114205006958,-0.8201289449672313,0.7622953653335571,0.10425569117069244,-0.6382264494895935,0.026523083448410034,0,consistent_success
1000,curobo_threshold_N1000_K1,230,1,1,-2.6688568592071533,0.4620104134082794,-0.66197270154953,2.287113904953003,-2.7994184494018555,0.42993178963661194,6.244724204407248e-05,9.243710088942047e-06,0.00011512194503379477,5.399738656763834e-06,5.267470298972229e-05,3.843971432178214e-06,-0.8760528051992201,-0.5346060097053161,0.05220489589320791,0.3980872333049774,-0.5467471480369568,0.23488803207874298,0.6981559991836548,0,consistent_success
1000,curobo_threshold_N1000_K1,231,1,1,0.47972390055656433,1.535364031791687,-1.357209324836731,-0.8645303845405579,-1.421812653541565,0.7739911079406738,6.664001972467304e-05,3.1998283339444367e-06,5.035060153001045e-05,3.6222548091772005e-06,1.6289418194662587e-05,4.224264752327638e-07,0.43939379061520173,0.4288267583584477,-0.7330182196973778,-0.4107799828052521,-0.5114192962646484,0.7428385019302368,0.1337948590517044,0,consistent_success
1000,curobo_threshold_N1000_K1,232,1,1,-0.08871114999055862,0.7451608180999756,-0.6276318430900574,-1.8241249322891235,-0.5336664915084839,0.7168416380882263,0.0,8.435083424060767e-06,7.071275510873767e-05,6.037091348628668e-06,7.071275510873767e-05,2.3979920754320985e-06,1.1562210509437534,0.1414413413354914,-0.385604131534064,0.2770387530326843,-0.3547183871269226,0.7913153171539307,0.41381698846817017,0,consistent_success
