target_id,target_x,target_y,target_z,target_radius_from_base,target_height_z,orientation_angle,cuda_success,curobo_success,cuda_pos_err,curobo_pos_err,is_curobo_only_fail,is_cuda_only_fail,is_both_fail,radius_bin,z_bin,orientation_angle_bin,curobo_failure_rate,cuda_failure_rate,mean_curobo_pos_err,mean_cuda_pos_err,bin_count
890,0.14572588373516177,-0.06783381441468067,0.043192997999525584,0.16074034829015155,0.043192997999525584,153.87663902591936,1,0,4.24825668894,78.28623190049615,1,0,0,0,1,5,,,,,
891,-0.07941277659382612,0.14345248356670848,0.8376130812656826,0.16396647257228444,0.8376130812656826,123.83351836653374,1,1,2.85483322018,0.00048237203202569146,0,0,0,0,4,4,,,,,
892,0.03395399629323104,-0.25662384886685796,0.06223535247429929,0.25886033622693283,0.06223535247429929,152.48845541324877,1,0,0.459703056375,13.265629403617224,1,0,0,0,1,5,,,,,
893,0.2957022645841363,0.06453500542461688,1.3601467704480927,0.3026625120581369,1.3601467704480927,117.28568575207045,1,0,0.0464378479461,23.102918251540135,1,0,0,0,4,3,,,,,
894,-0.1153798828701589,0.12469241866291308,1.0217828896516714,0.1698844214256822,1.0217828896516714,137.63110966598128,1,1,0.713107525869,0.00013498246042173442,0,0,0,0,4,4,,,,,
895,-0.2998026204686747,-0.019053270955866022,-0.9204483690002961,0.3004074539255007,-0.9204483690002961,92.4622424301962,1,1,0.0897771491392,4.729010269734722,0,0,0,0,-2,3,,,,,
896,0.2151257430418273,0.09437742151153207,0.19939866780653454,0.2349173961426946,0.19939866780653454,135.14265588523068,1,1,0.499333236314,0.0006816142730536151,0,0,0,0,2,4,,,,,
897,1.2348245402344522,0.12646024406443332,-0.014738346617456433,1.241283141951933,-0.014738346617456433,152.37943421086007,1,1,1.71561887453,0.00021425959918175815,0,0,0,3,1,5,,,,,
898,0.02088467039646287,0.10014400148736448,1.0604115753626433,0.10229853611596869,1.0604115753626433,103.01827805672535,0,1,0.349191631864,0.0001902608580994835,0,1,0,0,4,3,,,,,
899,-1.0142884958875658,-0.3081270525966408,0.5186846139427346,1.0600582217179175,0.5186846139427346,115.48729013960332,1,1,0.443015618492,0.0004223946053085097,0,0,0,3,3,3,,,,,
900,0.713024207269269,0.6097844753370524,-0.10168715404733764,0.9382113975613671,-0.10168715404733764,76.64907069435404,1,1,2.62321262363,2.561854844933291e-05,0,0,0,2,1,2,,,,,
901,-0.08697513543462425,-0.22230996810565193,-0.49488832182395526,0.2387182357990424,-0.49488832182395526,102.4438140575747,1,0,0.0385514495211,33.645506525972,1,0,0,0,0,3,,,,,
902,-1.0922485135921909,-0.09789007469644677,-0.05822471536374048,1.0966263183821672,-0.05822471536374048,88.21175142757816,1,0,0.358785251894,11.83610878297577,1,0,0,3,1,2,,,,,
903,-0.16942688339133735,0.05112713315541137,-0.3619979174887729,0.17697302777653148,-0.3619979174887729,163.2780053482635,1,1,0.0168792885252,0.018710144860591398,0,0,0,0,0,5,,,,,
904,-0.2963355746836961,-0.24324774062807022,0.2332406531721028,0.3833852320366257,0.2332406531721028,98.82976776282028,1,1,0.242636907508,0.00024566572942138343,0,0,0,1,2,3,,,,,
905,-0.05566578772597907,1.056162745074904,0.5537338611523509,1.0576286796448509,0.5537338611523509,176.62706213098872,1,0,0.0404679882334,59.889799202384296,1,0,0,3,3,5,,,,,
906,-0.4931246830005745,0.36968769525620715,-0.3306914936681492,0.6163123761602256,-0.3306914936681492,157.28889986174312,1,1,0.022351706533,5.8019915413257696e-05,0,0,0,1,0,5,,,,,
907,0.09499016963506063,0.1370381128803254,-0.1629238511806571,0.16674104686338756,-0.1629238511806571,153.70227804191853,1,1,0.753880636224,0.015195662263617503,0,0,0,0,1,5,,,,,
908,-0.5681001621976598,-0.49309286201274516,-0.5888062799883463,0.7522488716222362,-0.5888062799883463,176.98750003623195,1,1,0.261186778872,0.00016585274578394236,0,0,0,2,-1,5,,,,,
909,-0.6108106100138051,-0.10422505826905154,0.16145190514719043,0.6196389788228497,0.16145190514719043,167.87515763289036,1,0,0.239565801408,21.551762806366543,1,0,0,1,2,5,,,,,
