precision_mode,fallback_mode,N,target_id,best_seed_id,pos_err_mm,rot_err_deg,success_strict,near_limit
mixed_aggressive,none,500,28,5,57.7601221544,0.100480839651,0,0
mixed_aggressive,none,500,52,0,15.2288456542,0.0668563317558,0,1
mixed_aggressive,none,500,65,15,28.4889632869,4.07080060874,0,0
mixed_aggressive,none,500,114,8,169.785359872,0.229248427137,0,0
mixed_aggressive,none,500,143,12,29.8664308954,0.215437693933,0,0
mixed_aggressive,none,500,161,14,56.5232451146,0.0253856210136,0,0
mixed_aggressive,none,500,179,9,37.1446173149,0.000479153177043,0,0
mixed_aggressive,none,500,196,1,124.652318697,1.51200781085,0,0
mixed_aggressive,none,500,198,2,96.5797109798,1.32759653836,0,0
mixed_aggressive,none,500,203,13,37.5814841725,0.000539537054107,0,0
mixed_aggressive,none,500,209,3,72.1440202487,0.035629230861,0,0
mixed_aggressive,none,500,227,14,26.9609573943,0.00629145798066,0,0
mixed_aggressive,none,500,232,15,3.11690473034,7.63064458162,0,0
mixed_aggressive,none,500,240,2,84.634045049,1.68987279154,0,0
mixed_aggressive,none,500,253,4,84.0135259624,1.76933552513,0,0
mixed_aggressive,none,500,279,4,120.06246735,2.3395882599,0,0
mixed_aggressive,none,500,286,4,40.3422734819,0.00941542048062,0,0
mixed_aggressive,none,500,316,3,153.556756312,0.0158134486332,0,0
mixed_aggressive,none,500,345,10,97.9280177187,3.79894236561,0,0
mixed_aggressive,none,500,367,10,19.4147569174,0.127292679667,0,0
mixed_aggressive,none,500,397,0,71.3155185113,3.41024767361,0,0
mixed_aggressive,none,500,437,2,16.168522376,0.0504300766857,0,0
fp32_risky,none,100,23,12,78.553341299,0.66728516341,0,0
fp32_risky,none,100,28,5,57.7601221544,0.100480839651,0,0
fp32_risky,none,100,52,0,15.2288456542,0.0668563317558,0,1
fp32_risky,none,100,65,15,28.4889632869,4.07080060874,0,0
fp32_risky,none,500,23,12,78.553341299,0.66728516341,0,0
fp32_risky,none,500,28,5,57.7601221544,0.100480839651,0,0
fp32_risky,none,500,52,0,15.2288456542,0.0668563317558,0,1
fp32_risky,none,500,65,15,28.4889632869,4.07080060874,0,0
fp32_risky,none,500,114,8,169.785359872,0.229248427137,0,0
fp32_risky,none,500,143,12,29.8664308954,0.215437693933,0,0
fp32_risky,none,500,161,14,56.5232451146,0.0253856210136,0,0
fp32_risky,none,500,179,9,37.1446173149,0.000479153177043,0,0
fp32_risky,none,500,196,1,124.652318697,1.51200781085,0,0
fp32_risky,none,500,198,2,96.5797109798,1.32759653836,0,0
fp32_risky,none,500,203,13,37.5814841725,0.000539537054107,0,0
fp32_risky,none,500,209,3,72.1440202487,0.035629230861,0,0
fp32_risky,none,500,227,14,26.9609573943,0.00629145798066,0,0
fp32_risky,none,500,232,15,3.11690473034,7.63064458162,0,0
fp32_risky,none,500,240,2,84.634045049,1.68987279154,0,0
fp32_risky,none,500,253,4,84.0135259624,1.76933552513,0,0
fp32_risky,none,500,279,4,120.06246735,2.3395882599,0,0
fp32_risky,none,500,286,4,40.3422734819,0.00941542048062,0,0
fp32_risky,none,500,316,3,153.556756312,0.0158134486332,0,0
fp32_risky,none,500,345,10,97.9280177187,3.79894236561,0,0
fp32_risky,none,500,367,10,19.4147569174,0.127292679667,0,0
fp32_risky,none,500,397,0,71.3155185113,3.41024767361,0,0
fp32_risky,none,500,437,2,16.168522376,0.0504300766857,0,0
