target_id,pos_error_m,rot_error_rad,converged_loose,converged_medium,converged_strict
132,1.3538844515944765e-07,9.884312124119404e-08,1,1,1
133,4.5536725410539626e-08,1.9428737179048833e-07,1,1,1
134,7.795957002462418e-08,1.576990670600291e-07,1,1,1
135,5.1811574051694154e-08,6.664001874625058e-08,1,1,1
136,1.649971276042589e-08,7.598131170262078e-08,1,1,1
137,7.302012941706264e-08,1.3818768405162858e-07,1,1,1
138,8.171976305234994e-08,1.490116119384767e-07,1,1,1
139,8.589625581660193e-08,1.3160349229466696e-07,1,1,1
140,2.575349131246411e-07,1.2467205919833125e-07,1,1,1
141,4.9665157821796086e-08,1.1348386266624797e-07,1,1,1
142,4.7000294665233347e-07,1.2467205919833125e-07,1,1,1
143,1.1587200485922128e-07,5.960464477539064e-08,1,1,1
144,3.226454073196754e-08,1.2287812309317777e-07,1,1,1
145,9.675146287075564e-08,1.332800374925012e-07,1,1,1
146,9.573910914793215e-08,9.424321830774487e-08,1,1,1
147,6.288885875409201e-08,2.7957056521317034e-07,1,1,1
148,5.482659507046852e-08,1.264405455326822e-07,1,1,1
149,2.6459126454208054e-07,1.8491854736195318e-07,1,1,1
150,6.2111024345268e-08,8.429369702178808e-08,1,1,1
151,3.7629005113600466e-07,1.99920056238752e-07,1,1,1
152,1.0201432105329598e-07,1.0323827311807144e-07,1,1,1
153,1.2264032648084195e-07,1.2467205919833125e-07,1,1,1
154,3.873387015718878e-07,1.264405455326822e-07,1,1,1
155,2.6928110822182916e-08,8.161702118890975e-08,1,1,1
156,6.47087574398366e-08,5.960464477539064e-08,1,1,1
157,7.082222880475355e-08,8.688795409866128e-08,1,1,1
158,3.2556527871367876e-08,1.1542389828584848e-07,1,1,1
159,3.184439721888656e-08,4.2146848510894035e-08,1,1,1
160,8.684855945190255e-08,7.598131170262078e-08,1,1,1
161,4.158549187591258e-08,1.3160349229466696e-07,1,1,1
162,9.478235440651826e-08,1.659323085197815e-07,1,1,1
163,1.200715935802055e-07,1.1151007970493862e-07,1,1,1
164,3.541823819724725e-07,3.6500241499888574e-08,1,1,1
165,1.0277961590465818e-07,6.322027276634106e-08,1,1,1
166,4.64689973701776e-07,7.300048299977716e-08,1,1,1
167,7.460952709173172e-08,1.5196262340524166e-07,1,1,1
168,7.120550811539515e-08,1.4136482746161737e-07,1,1,1
169,1.9100309846025168e-07,9.65705618025044e-08,1,1,1
170,2.8576611028631487e-08,1.3818768405162858e-07,1,1,1
171,2.810528622434325e-08,6.664001874625058e-08,1,1,1
172,3.127952985183607e-07,1.0745380149674388e-07,1,1,1
173,6.753280205179737e-08,7.300048299977716e-08,1,1,1
174,1.0491713229011871e-07,1.504943510645939e-07,1,1,1
175,2.006470759043435e-07,8.429369702178808e-08,1,1,1
176,1.6832873769023137e-07,1.591008641128439e-07,1,1,1
177,8.635550745365571e-08,1.3978528260658483e-07,1,1,1
178,1.3976824025074265e-07,7.300048299977716e-08,1,1,1
179,8.708197715523338e-08,6.989264130329237e-08,1,1,1
180,1.1072078254299704e-07,9.884312124119404e-08,1,1,1
181,2.1474398119566235e-07,1.8128044993574107e-07,1,1,1
182,1.2608687999004577e-07,1.1920928955078133e-07,1,1,1
183,9.827985632008975e-08,1.8371385344770506e-07,1,1,1
