target_id,pos_error_m,rot_error_rad,converged_loose,converged_medium,converged_strict
260,3.4705756321930795e-08,1.0950072449966577e-07,1,1,1
261,2.520948359852375e-08,1.3978528260658483e-07,1,1,1
262,5.54323535306662e-08,5.16191365590357e-08,1,1,1
263,1.308498890798956e-07,1.8611544365878127e-07,1,1,1
264,4.9739736317599255e-08,6.989264130329237e-08,1,1,1
265,5.5447014834623165e-08,8.940696716308596e-08,1,1,1
266,2.9651449630046472e-08,6.989264130329237e-08,1,1,1
267,1.249078245447529e-08,9.424321830774487e-08,1,1,1
268,8.671705732505124e-08,1.0745380149674388e-07,1,1,1
269,1.8733820912548203e-07,1.576990670600291e-07,1,1,1
270,9.97750287326364e-09,5.16191365590357e-08,1,1,1
271,6.496440934103513e-08,2.1387189767371642e-07,1,1,1
272,8.661632571884364e-08,1.5485740967710726e-07,1,1,1
273,7.012854068689665e-08,1.2467205919833125e-07,1,1,1
274,4.996161364315233e-08,1.8491854736195318e-07,1,1,1
275,1.473698237101581e-07,1.9542689693874154e-07,1,1,1
276,6.803742096705485e-08,1.2287812309317777e-07,1,1,1
277,1.0480578462944054e-07,5.575503985246929e-08,1,1,1
278,1.1179343585949389e-07,2.0861625671386756e-07,1,1,1
279,6.747772654840647e-08,1.0323827311807144e-07,1,1,1
280,8.293822635937371e-08,1.2287812309317777e-07,1,1,1
281,2.0577000290767177e-08,9.884312124119404e-08,1,1,1
282,1.684517794213829e-07,1.3657139822709094e-07,1,1,1
283,9.75333196859832e-08,6.322027276634106e-08,1,1,1
284,9.381291234880325e-08,1.0536712127723512e-07,1,1,1
285,1.269555661303348e-07,1.0323827311807144e-07,1,1,1
286,1.6714364374676032e-07,7.884953353001449e-08,1,1,1
287,1.4092013594978297e-07,1.332800374925012e-07,1,1,1
288,3.2773687752164856e-08,1.0106459234841571e-07,1,1,1
289,7.092217958541089e-08,5.16191365590357e-08,1,1,1
290,1.876938833234789e-07,8.429369702178808e-08,1,1,1
291,4.3800690285846386e-08,1.8730469182098736e-07,1,1,1
292,8.805053157086065e-08,2.021291846968317e-07,1,1,1
293,3.4749861977411567e-07,1.5196262340524166e-07,1,1,1
294,5.981651808254327e-08,9.424321830774487e-08,1,1,1
295,7.075304014315841e-08,5.960464477539064e-08,1,1,1
296,5.8750464684946267e-08,1.4751396978812924e-07,1,1,1
