target_id,pos_error_m,rot_error_rad,converged_loose,converged_medium,converged_strict
377,1.0430745286019018e-07,8.161702118890975e-08,1,1,1
378,9.816650365735892e-08,2.3084779657169732e-07,1,1,1
379,4.8899638252629964e-08,1.5196262340524166e-07,1,1,1
380,9.139048112614009e-08,1.0323827311807144e-07,1,1,1
381,1.3012709019687867e-07,9.65705618025044e-08,1,1,1
382,7.673599413173891e-08,1.3657139822709094e-07,1,1,1
383,2.3192992357965585e-07,9.185692672385244e-08,1,1,1
384,1.253004525518073e-07,7.884953353001449e-08,1,1,1
385,1.1128351541212213e-07,8.429369702178808e-08,1,1,1
386,1.545483159778305e-07,1.7631291696726156e-07,1,1,1
387,2.4758849083432966e-07,1.2287812309317777e-07,1,1,1
388,8.16083001027718e-08,1.3657139822709094e-07,1,1,1
389,1.1054630091543626e-07,2.7637536810325784e-07,1,1,1
390,4.563594795407822e-08,6.664001874625058e-08,1,1,1
391,6.489541503060864e-08,1.504943510645939e-07,1,1,1
392,7.085761341492401e-08,1.2287812309317777e-07,1,1,1
393,2.496576816437536e-08,1.3978528260658483e-07,1,1,1
394,1.5265402308411338e-07,1.0950072449966577e-07,1,1,1
395,3.367941789626353e-08,4.2146848510894035e-08,1,1,1
396,2.965920265552136e-07,1.0106459234841571e-07,1,1,1
397,1.035578912938713e-07,2.1696418193818725e-07,1,1,1
398,2.683033718421855e-07,1.6049041769309372e-07,1,1,1
399,5.2652662882465414e-08,1.429269171748377e-07,1,1,1
400,6.137100825667854e-08,5.960464477539064e-08,1,1,1
401,8.454764341615363e-08,7.300048299977716e-08,1,1,1
402,5.082638998944483e-08,6.989264130329237e-08,1,1,1
403,7.483300812990763e-08,1.8371385344770506e-07,1,1,1
404,1.0704191588401091e-07,2.1073424255447054e-07,1,1,1
405,7.867588709920394e-08,6.664001874625058e-08,1,1,1
406,3.709340329116238e-08,8.940696716308596e-08,1,1,1
407,5.243722530913103e-08,1.8371385344770506e-07,1,1,1
408,5.241290144357907e-08,1.6049041769309372e-07,1,1,1
409,9.172604284847176e-08,7.884953353001449e-08,1,1,1
410,2.486211414937694e-08,1.4751396978812924e-07,1,1,1
411,3.891076431794809e-07,5.16191365590357e-08,1,1,1
412,7.908434696727579e-08,1.0745380149674388e-07,1,1,1
413,2.671196081934554e-08,1.1920928955078133e-07,1,1,1
414,5.1277910471803395e-08,7.598131170262078e-08,1,1,1
415,5.002214771422078e-07,6.664001874625058e-08,1,1,1
416,6.684658830533679e-08,2.8036367479304735e-07,1,1,1
417,1.0807164244412448e-07,6.664001874625058e-08,1,1,1
418,2.2006402810633163e-08,8.161702118890975e-08,1,1,1
419,5.873970648295767e-08,1.6858739404357632e-07,1,1,1
420,8.249536200508401e-08,1.1542389828584848e-07,1,1,1
421,8.459937374285669e-08,1.2467205919833125e-07,1,1,1
422,5.021295784316288e-08,1.4751396978812924e-07,1,1,1
423,2.743735977158085e-07,1.1348386266624797e-07,1,1,1
424,8.414670381703123e-08,2.0647654623614315e-07,1,1,1
425,1.633042376652953e-07,1.264405455326822e-07,1,1,1
426,2.43494691268539e-08,8.429369702178808e-08,1,1,1
427,2.1507510625138693e-08,1.1733186057227575e-07,1,1,1
428,1.3501090166742874e-07,1.2287812309317777e-07,1,1,1
429,5.2822985218039245e-08,9.884312124119404e-08,1,1,1
430,3.882374167331361e-08,1.1348386266624797e-07,1,1,1
431,4.28957085408774e-08,8.688795409866128e-08,1,1,1
432,2.956889540513959e-07,1.1733186057227575e-07,1,1,1
433,5.903396237392755e-08,2.0322474385776937e-07,1,1,1
434,9.47722445662225e-08,7.884953353001449e-08,1,1,1
435,2.545511500148901e-07,5.960464477539064e-08,1,1,1
436,7.777745728318916e-08,1.9880628681371146e-07,1,1,1
437,2.396305702036737e-08,1.1542389828584848e-07,1,1,1
438,5.6202032871131266e-08,1.6726511955740805e-07,1,1,1
439,3.391579130169002e-08,1.0536712127723512e-07,1,1,1
440,6.65460968804544e-08,6.664001874625058e-08,1,1,1
441,5.987025154741929e-08,5.575503985246929e-08,1,1,1
442,5.793219227443147e-08,1.2990531157078375e-07,1,1,1
443,2.1413235354648328e-07,1.1920928955078133e-07,1,1,1
