target_id,cuda_success,curobo_success,cuda_pos_err_mm,curobo_pos_err_mm,cuda_rot_err_deg,curobo_rot_err_deg,cuda_near_limit,curobo_near_limit,winner_quality,failure_type
735,1,1,2.51819329346,0.00014067463538253524,0.166445565765,1.9167170820781278e-05,0,0,cuRobo,both_success
736,1,1,0.0240490651615,4.4576768199947734e-05,0.000884547169607,1.0799477313527678e-05,0,0,cuRobo,both_success
737,1,1,0.0538192824368,9.93737230221344e-05,0.00440470048078,2.4148365394514667e-06,0,0,cuRobo,both_success
738,1,1,0.280912295512,0.40260925670623915,0.0512224648461,0.03724858551293466,0,0,CUDA,both_success
739,1,1,1.34445193851,3.5200133242547124e-05,0.0013665705473,4.353408482428142e-06,0,0,cuRobo,both_success
740,1,1,0.109035531926,0.0001251880250172743,0.0042487301718,2.013168567464644e-05,0,0,cuRobo,both_success
741,1,1,0.112462119594,0.0009590755309255654,0.0102010059582,0.0001643065144906682,0,0,cuRobo,both_success
742,1,1,0.422069890928,9.479161606526278e-05,0.00565486397969,8.537736462515945e-06,0,0,cuRobo,both_success
743,1,1,0.428514153729,0.04014335201540458,0.166009478324,0.004992045540173231,0,0,cuRobo,both_success
744,1,1,0.646351847483,0.0003245202798912913,0.182889983448,3.415094585006376e-06,0,0,cuRobo,both_success
745,1,1,0.0673995237844,0.00011741808444586388,0.0171558333866,1.0731768324341125e-05,0,0,cuRobo,both_success
746,1,1,0.0357179422628,5.542711626334526e-05,0.0336949696825,1.7075472925031877e-06,0,0,cuRobo,both_success
747,1,1,0.257285382537,3.0586700291385562,0.254730607126,0.2493975352679986,0,0,CUDA,both_success
748,1,1,0.151934683999,0.02132783096827852,0.00535591811531,0.001370987690159887,0,0,cuRobo,both_success
749,1,1,0.13904606201,0.00011936599235840932,0.013635434632,2.9575586669421963e-06,0,0,cuRobo,both_success
750,1,1,0.0471254564794,0.013849981039723937,0.0252794088641,0.008619125620995939,0,0,cuRobo,both_success
751,1,1,0.0509499880442,5.333093292588324e-05,0.0115939641307,1.1326587362040649e-05,0,0,cuRobo,both_success
752,1,1,0.0766757544001,7.670726832658591e-05,0.0140663819419,5.122641877509564e-06,0,0,cuRobo,both_success
753,1,1,0.0524963708077,8.417357890358483e-05,0.81924697782,1.277811388052082e-05,0,0,cuRobo,both_success
754,1,1,0.187723153358,0.0003818222282960025,0.0141063245637,6.3890569402603996e-06,0,0,cuRobo,both_success
755,1,1,0.119661208427,5.944721912826839e-05,0.0428897913506,7.443026089337887e-06,0,0,cuRobo,both_success
756,1,1,0.0445667830486,9.316241487963682e-05,0.00721219583552,9.430238149809192e-06,0,0,cuRobo,both_success
757,0,0,23.7449631746,14.874764841283458,0.494445210847,1.1173820890837218,1,0,cuRobo,both_fail
758,1,1,0.0369708529403,0.00023603174120430439,0.0204103372199,8.099607985145754e-06,0,0,cuRobo,both_success
759,1,1,0.496894929231,0.00022065305057321157,0.00848781624613,1.924308070525986e-05,0,0,cuRobo,both_success
760,1,1,0.0696152345666,0.0001356834667837504,0.00982393819811,1.4183953086968167e-05,0,0,cuRobo,both_success
761,1,0,0.0604083506986,41.93805338847435,0.00142809496511,3.1626216452710216,0,0,CUDA,cuda_success_curobo_fail
762,1,0,0.147998641481,182.80427987332232,0.0318788015315,28.898969328720707,0,0,CUDA,cuda_success_curobo_fail
763,1,0,2.76388125585,20.954329400735766,0.699316895464,6.372607050927528,0,0,CUDA,cuda_success_curobo_fail
764,1,0,0.591283984543,159.61168454236633,0.095340174441,10.192825502259685,0,0,CUDA,cuda_success_curobo_fail
765,1,1,1.05267252768,0.00015512009930218146,0.0201720913724,1.1197136397927998e-05,0,0,cuRobo,both_success
766,1,1,0.0486299606795,0.00013833744286160992,0.000888097302925,2.3225154141253322e-05,0,0,cuRobo,both_success
767,1,1,0.0124089134527,0.015842437781081676,0.580082774592,0.0009608500769236651,0,0,CUDA,both_success
768,1,1,0.0793115910268,2.7491452501331027e-05,0.942676560353,9.274355708402698e-06,0,0,cuRobo,both_success
769,1,1,0.168799627562,0.00021301524473330848,0.00481563887579,4.4560114361702576e-05,0,0,cuRobo,both_success
770,0,1,95.1662697345,1.3084436253612977,3.70260164379,0.14852728316094052,0,0,cuRobo,curobo_success_cuda_fail
771,1,0,0.159849799247,63.62442063822591,0.00116614769936,9.78387991777673,0,0,CUDA,cuda_success_curobo_fail
772,1,1,0.192700799454,0.00010237058597434213,0.000390842086581,7.040397847728103e-06,0,0,cuRobo,both_success
773,1,1,0.137193305531,0.025663617428371095,0.00540968197252,0.0027413920633459674,0,0,cuRobo,both_success
774,1,1,0.0179298589045,5.428421412742307e-05,0.0034237200287,4.182619578303747e-06,0,0,cuRobo,both_success
775,1,1,0.267942144889,0.00011291083008235419,0.00436508498878,1.010198601586461e-05,0,0,cuRobo,both_success
776,1,1,0.312571002923,0.00012413985684653437,0.00104789402024,6.3890569402603996e-06,0,0,cuRobo,both_success
777,1,1,0.0546354726771,7.17640468875443e-05,0.0781841607251,6.273929367455621e-06,0,0,cuRobo,both_success
778,1,1,0.023816399902,7.168047070057421e-05,0.0729448903508,2.9575586669421963e-06,0,0,cuRobo,both_success
779,1,1,0.577931518568,0.00042856906038874284,0.129970551281,2.4148365394514667e-06,0,0,cuRobo,both_success
780,1,1,0.0578559460122,6.964686410619783e-05,0.00750902128192,1.0731768324341125e-05,0,0,cuRobo,both_success
781,1,1,1.0460187088,0.0007009457038757254,0.0455334379092,3.2978215886223634e-05,0,0,cuRobo,both_success
782,1,0,0.630704791408,20.552484005749214,0.00603587691191,5.009657885546661,0,0,CUDA,cuda_success_curobo_fail
783,1,0,0.043994725007,93.2870314837985,0.00367214715437,4.430306129954139,0,0,CUDA,cuda_success_curobo_fail
784,1,1,0.0378025784241,3.405236594225178,0.242848481845,0.862233780030744,0,0,CUDA,both_success
785,1,1,0.557027130494,3.777279104757483e-05,0.185156127089,9.507220963046152e-06,0,0,cuRobo,both_success
786,1,1,0.157748330081,0.00011808685221839355,0.031372817892,3.350449725204057e-05,0,0,cuRobo,both_success
